"Election","JurisdictionName","ReportingCountyName","DataEntryJurisdictionName","DataEntryLevelName","Office","OfficeCategory","BallotOrder","NameonBallot","PoliticalParty","Winner","NumberofOfficeSeats","TotalVotes"
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,1
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,498
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,336
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Nala Baozun Scott Johnson Jr (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Paij Boring (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Peter Sonski (W/I)","American Solidarity","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Robert F. Kennedy Jr. & Nicole  Shanahan","We The People","No",1,11
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Shondra Irving (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Susan Maude Buchser (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Tom Hoefling & Andy  Prior  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"William Cody Nalbach (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"André Ramon Mcneil Sr. (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Carol Asher (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,12
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,1
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,428
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,327
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Nala Baozun Scott Johnson Jr (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Paij Boring (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Peter Sonski (W/I)","American Solidarity","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Robert F. Kennedy Jr. & Nicole  Shanahan","We The People","No",1,10
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Shondra Irving (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Susan Maude Buchser (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Tom Hoefling & Andy  Prior  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"William Cody Nalbach (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"André Ramon Mcneil Sr. (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Carol Asher (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,156
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,160
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Nala Baozun Scott Johnson Jr (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Paij Boring (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Peter Sonski (W/I)","American Solidarity","No",1,1
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Robert F. Kennedy Jr. & Nicole  Shanahan","We The People","No",1,4
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Shondra Irving (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Susan Maude Buchser (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Tom Hoefling & Andy  Prior  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","North-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"William Cody Nalbach (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"André Ramon Mcneil Sr. (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Carol Asher (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,4
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,2
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,251
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,195
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Nala Baozun Scott Johnson Jr (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Paij Boring (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Peter Sonski (W/I)","American Solidarity","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Robert F. Kennedy Jr. & Nicole  Shanahan","We The People","No",1,9
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Shondra Irving (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Susan Maude Buchser (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Tom Hoefling & Andy  Prior  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"William Cody Nalbach (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"André Ramon Mcneil Sr. (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Carol Asher (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,4
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,274
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,240
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Nala Baozun Scott Johnson Jr (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Paij Boring (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Peter Sonski (W/I)","American Solidarity","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Robert F. Kennedy Jr. & Nicole  Shanahan","We The People","No",1,8
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Shondra Irving (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Susan Maude Buchser (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Tom Hoefling & Andy  Prior  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-2","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"William Cody Nalbach (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"André Ramon Mcneil Sr. (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Carol Asher (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,2
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,246
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,130
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Nala Baozun Scott Johnson Jr (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Paij Boring (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Peter Sonski (W/I)","American Solidarity","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Robert F. Kennedy Jr. & Nicole  Shanahan","We The People","No",1,6
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Shondra Irving (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Susan Maude Buchser (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Tom Hoefling & Andy  Prior  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-3","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"William Cody Nalbach (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"André Ramon Mcneil Sr. (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Carol Asher (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,2
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,183
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,102
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Nala Baozun Scott Johnson Jr (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Paij Boring (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Peter Sonski (W/I)","American Solidarity","No",1,1
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Robert F. Kennedy Jr. & Nicole  Shanahan","We The People","No",1,6
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Shondra Irving (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Susan Maude Buchser (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Tom Hoefling & Andy  Prior  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-4","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"William Cody Nalbach (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"André Ramon Mcneil Sr. (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Carol Asher (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,1
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,146
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,107
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Nala Baozun Scott Johnson Jr (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Paij Boring (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Peter Sonski (W/I)","American Solidarity","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Robert F. Kennedy Jr. & Nicole  Shanahan","We The People","No",1,6
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Shondra Irving (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Susan Maude Buchser (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Tom Hoefling & Andy  Prior  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-5","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"William Cody Nalbach (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"André Ramon Mcneil Sr. (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Carol Asher (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,4
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,271
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,150
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Nala Baozun Scott Johnson Jr (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Paij Boring (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Peter Sonski (W/I)","American Solidarity","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Robert F. Kennedy Jr. & Nicole  Shanahan","We The People","No",1,3
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Shondra Irving (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Susan Maude Buchser (W/I)","Other","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Tom Hoefling & Andy  Prior  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-Central-6","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"William Cody Nalbach (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"André Ramon Mcneil Sr. (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Carol Asher (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Chase Oliver & Mike  Ter Maat","Libertarian","No",1,3
"2024 General Election","Statewide","Cedar County","Urban-North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cherunda Lynn Fox (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Claudia De La Cruz & Karina  Garcia  (W/I)","Party For Socialism And Liberation","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Cornel West & Melina  Abdullah  (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Donald J Trump & Jd  Vance","Republican","Yes",1,245
"2024 General Election","Statewide","Cedar County","Urban-North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Doug Jenkins (W/I)","Independent","No",1,0
"2024 General Election","Statewide","Cedar County","Urban-North-1","Precinct","US President & Vice President","Presidential Electors For US President & Vp",20,"Kamala D. Harris & Tim  Walz","Democratic","No",1,108
